n_total,n_hsp1,n_hsp2,n_hsp3,split,ratio,share_hsp1,share_hsp2,share_hsp3,imbalance,rho_BS1_HSP1,N_BS1_HSP1,rho_BS1_HSP2,N_BS1_HSP2,rho_BS1_HSP3,N_BS1_HSP3,rho_BS2_HSP1,N_BS2_HSP1,rho_BS2_HSP2,N_BS2_HSP2,rho_BS2_HSP3,N_BS2_HSP3,mean_rho_HSP1,mean_raw_HSP1,mass_HSP1,mean_rho_HSP2,mean_raw_HSP2,mass_HSP2,mean_rho_HSP3,mean_raw_HSP3,mass_HSP3
74454,3723,35365,35366,3723-35365-35366,,0.05000402933354823,0.47499126977731215,0.4750047008891396,0.4750047008891396,0.10675214663556643,1884,0.9944053640759285,17638,1.0,17795,0.09966178256317852,1839,0.9956475126025395,17727,0.9843872334706887,17571,0.10320696459937248,0.1651833393010939,424.1094660385101,0.995026438339234,1.592545526513315,4083.3691571639097,0.9921936167353443,1.5880115792744711,4072.842973121129
74454,7445,33504,33505,7445-33504-33505,,0.09999462755526903,0.44999597066645175,0.4500094017782792,0.4500094017782792,0.2256259370253571,3742,0.9982875017566528,16726,1.0,16849,0.21821257620713447,3703,0.9985218494770671,16778,0.9844531170308957,16656,0.22191925661624579,0.33557810176020053,860.3547908395024,0.99840467561686,1.5097506676105525,3870.836470515759,0.9922265585154478,1.5004083471605103,3849.1303349682967
74454,11168,31643,31643,11168-31643-31643,,0.14999865688881725,0.42500067155559135,0.42500067155559135,0.42500067155559135,0.35587818535741556,5663,0.9935371983865869,15760,0.9971011211873159,15894,0.3418339867632732,5505,1.0,15883,0.9807111546527122,15749,0.34885608606034435,0.4999637936698348,1282.6359826562098,0.9967685991932935,1.428520900671467,3661.9388073353502,0.988906137920014,1.4172527986579309,3635.7468063319925
74454,14891,29781,29782,14891-29781-29782,,0.2000026862223655,0.39999194133290356,0.400005372444731,0.400005372444731,0.5026142991453971,7504,0.99878455876644,14855,0.9975034276581042,14958,0.48772086512509677,7387,1.0,14926,0.9856506619408016,14824,0.4951675821352469,0.6663756212136105,1709.618146406529,0.99939227938322,1.34493992546584,3447.5672131134033,0.991577044799453,1.3344225127987375,3423.136236803615
74454,18614,27920,27920,18614-27920-27920,,0.2500067155559137,0.37499664222204315,0.37499664222204315,0.37499664222204315,0.6748053119938764,9352,0.9987848261045719,13944,0.9989219223038206,14021,0.655656172884441,9262,1.0,13976,0.9895460220012047,13899,0.6652307424391587,0.8370843294748058,2146.58583181374,0.999392413052286,1.257572259656345,3224.411990187994,0.9942339721525126,1.2510812035967747,3209.3237743218087
74454,22336,26059,26059,22336-26059-26059,,0.2999973137776345,0.35000134311118275,0.35000134311118275,0.35000134311118275,0.8611996531012694,11210,1.0,13022,0.9996728836666983,13085,0.8511421571009563,11126,0.9906895237063282,13037,0.9898081022784454,12974,0.8561709051011128,1.006416786221605,2580.362804879286,0.9953447618531641,1.1700136858638832,3000.801942001339,0.9947404929725718,1.1693033763436742,2999.1568494429043
74454,26059,24197,24198,26059-24197-24198,,0.35000134311118275,0.3249926128884949,0.32500604400032235,0.35000134311118275,1.0,13107,0.9134222250340764,12013,0.9240334697698354,12197,0.9800964461468693,12952,0.9194478871764552,12184,0.9089162250890015,12001,0.9900482230734347,1.1733923300450413,3008.656839342928,0.9164350561052659,1.0861469580543401,2785.7706450362407,0.9164748474294184,1.086194118216315,2785.894111944363
74454,29782,22336,22336,29782-22336-22336,,0.400005372444731,0.2999973137776345,0.2999973137776345,0.400005372444731,1.0,14971,0.733715541445635,11079,0.7471904758703647,11267,0.9773690230382289,14811,0.7463632495395579,11257,0.7318209842204161,11069,0.9886845115191145,1.3401816112218532,3436.5150465444062,0.7400393954925965,1.0031381880303074,2572.744323548778,0.7395057300453904,1.0024147938529362,2571.0622262303527
74454,33504,20475,20475,33504-20475-20475,,0.44999597066645175,0.2750020146667741,0.2750020146667741,0.44999597066645175,1.0,16809,0.6051595543041361,10218,0.6082970842025449,10290,0.9836364697861025,16695,0.6068008240723304,10257,0.6004009332506011,10185,0.9918182348930513,1.506874319261263,3864.1464669994066,0.6059801891882333,0.9206686799495017,2360.9682611880244,0.604349008726573,0.9181904194565177,2355.206868136115
74454,37227,18613,18614,37227-18613-18614,,0.5,0.24999328444408628,0.2500067155559137,0.5,1.0,18587,0.5040850846891218,9345,0.5013810311287882,9385,0.9951228090103154,18640,0.497503493106262,9268,0.4923464368231005,9229,0.9975614045051577,1.6727862891761964,4289.973165349015,0.500794288897692,0.8397696787210365,2152.828329094456,0.4968637339759443,0.833178627431101,2137.52010188007
